Staedte
Berlin, Stadt
Hamburg, Freie und Hansestadt
München, Landeshauptstadt
Köln, Stadt
Frankfurt am Main, Stadt
Stuttgart, Landeshauptstadt
Düsseldorf, Stadt
Dortmund, Stadt
Essen, Stadt
Leipzig, Stadt
Bremen, Stadt
Dresden, Stadt
Hannover, Landeshauptstadt
Nürnberg
Duisburg, Stadt
Bochum, Stadt
Wuppertal, Stadt
Bielefeld, Stadt
Bonn, Stadt
Münster, Stadt
Karlsruhe, Stadt
Mannheim, Universitätsstadt
Augsburg
Wiesbaden, Landeshauptstadt
Gelsenkirchen, Stadt
Mönchengladbach, Stadt
Braunschweig, Stadt
Kiel, Landeshauptstadt
Chemnitz, Stadt
Aachen, Stadt
Magdeburg, Landeshauptstadt
Halle (Saale), Stadt
Freiburg im Breisgau, Stadt
Krefeld, Stadt
Lübeck, Hansestadt
Mainz, Stadt
Oberhausen, Stadt
Erfurt, Stadt
Rostock, Hansestadt
Kassel, documenta-Stadt
Hagen, Stadt der FernUniversität
Saarbrücken, Landeshauptstadt
Hamm, Stadt
Potsdam, Stadt
Mülheim an der Ruhr, Stadt
Ludwigshafen am Rhein, Stadt
Oldenburg (Oldenburg), Stadt
Osnabrück, Stadt
Leverkusen, Stadt
Heidelberg, Stadt
Solingen, Klingenstadt
Darmstadt, Wissenschaftsstadt
Herne, Stadt
Neuss, Stadt
Paderborn, Stadt
Regensburg
Ingolstadt
Würzburg
Fürth
Offenbach am Main, Stadt
Ulm, Universitätsstadt
Wolfsburg, Stadt
Heilbronn, Stadt
Pforzheim, Stadt
Göttingen, Stadt
Bottrop, Stadt
Reutlingen, Stadt
Recklinghausen, Stadt
Koblenz, Stadt
Bremerhaven, Stadt
Bergisch Gladbach, Stadt
Remscheid, Stadt
Jena, Stadt
Erlangen
Trier, Stadt
Moers, Stadt
Salzgitter, Stadt
Siegen, Universitätsstadt
Hildesheim, Stadt
Cottbus, Stadt
Kaiserslautern, Stadt
Gütersloh, Stadt
Witten, Stadt
Schwerin, Landeshauptstadt
Hanau, Brüder-Grimm-Stadt
Gera, Stadt
Iserlohn, Stadt
Ludwigsburg, Stadt
Esslingen am Neckar, Stadt
Zwickau, Stadt
Düren, Stadt
Tübingen, Universitätsstadt
Flensburg, Stadt
Ratingen, Stadt
Gießen, Universitätsstadt
Lünen, Stadt
Villingen-Schwenningen, Stadt
Konstanz, Universitätsstadt
Marl, Stadt
Worms, Stadt
Dessau-Roßlau, Stadt
Velbert, Stadt
Minden, Stadt
Neumünster, Stadt
Norderstedt, Stadt
Delmenhorst, Stadt
Viersen, Stadt
Wilhelmshaven, Stadt
Bamberg
Gladbeck, Stadt
Rheine, Stadt
Dorsten, Stadt
Marburg, Universitätsstadt
Troisdorf, Stadt
Lüneburg, Hansestadt
Castrop-Rauxel, Stadt
Arnsberg, Stadt
Detmold, Stadt
Lüdenscheid, Stadt
Bayreuth
Brandenburg an der Havel, Stadt
Bocholt, Stadt
Landshut
Celle, Stadt
Aschaffenburg
Lippstadt, Stadt
Dinslaken, Stadt
Aalen, Stadt
Kempten (Allgäu)
Fulda, Stadt
Herford, Hansestadt
Kerpen, Kolpingstadt
Plauen, Stadt
Neuwied, Stadt
Weimar, Stadt
Sindelfingen, Stadt
Rüsselsheim am Main, Stadt
Dormagen, Stadt
Neubrandenburg, Stadt
Grevenbroich, Stadt
Rosenheim
Herten, Stadt
Garbsen, Stadt
Wesel, Stadt
Schwäbisch Gmünd, Stadt
Bergheim, Stadt
Friedrichshafen, Stadt
Hürth, Stadt
Stralsund, Hansestadt
Offenburg, Stadt
Langenfeld (Rheinland), Stadt
Frankfurt (Oder), Stadt
Greifswald, Hansestadt
Euskirchen, Stadt
Neu-Ulm, GKSt
Göppingen, Stadt
Unna, Stadt4)
Hameln, Stadt
Stolberg (Rhld.), Kupferstadt
Sankt Augustin, Stadt
Eschweiler, Stadt
